CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022
145,14010,,17113,"McLean County, IL",County or equivalent,170975,170954,171190,171141,-21,236,-49
145,38700,,,"Pontiac, IL",Micropolitan Statistical Area,35816,35779,35741,35521,-37,-38,-220
145,38700,,17105,"Livingston County, IL",County or equivalent,35816,35779,35741,35521,-37,-38,-220
146,,,,"Bloomsburg-Berwick-Sunbury, PA",Combined Statistical Area,256927,256719,256257,255546,-208,-462,-711
146,14100,,,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,82870,82811,83083,83017,-59,272,-66
146,14100,,42037,"Columbia County, PA",County or equivalent,64725,64682,64980,64926,-43,298,-54
146,14100,,42093,"Montour County, PA",County or equivalent,18145,18129,18103,18091,-16,-26,-12
146,30260,,,"Lewisburg, PA",Micropolitan Statistical Area,42675,42639,42419,42744,-36,-220,325
146,30260,,42119,"Union County, PA",County or equivalent,42675,42639,42419,42744,-36,-220,325
146,42780,,,"Selinsgrove, PA",Micropolitan Statistical Area,39735,39727,39742,39652,-8,15,-90
146,42780,,42109,"Snyder County, PA",County or equivalent,39735,39727,39742,39652,-8,15,-90
146,44980,,,"Sunbury, PA",Micropolitan Statistical Area,91647,91542,91013,90133,-105,-529,-880
146,44980,,42097,"Northumberland County, PA",County or equivalent,91647,91542,91013,90133,-105,-529,-880
147,,,,"Boise City-Mountain Home-Ontario, ID-OR",Combined Statistical Area,850348,856090,884016,899574,5742,27926,15558
147,14260,,,"Boise City, ID",Metropolitan Statistical Area,764723,770188,796989,811336,5465,26801,14347
147,14260,,16001,"Ada County, ID",County or equivalent,494964,498260,512914,518907,3296,14654,5993
147,14260,,16015,"Boise County, ID",County or equivalent,7613,7662,8121,8333,49,459,212
147,14260,,16027,"Canyon County, ID",County or equivalent,231106,232998,243774,251065,1892,10776,7291
147,14260,,16045,"Gem County, ID",County or equivalent,19126,19274,19832,20418,148,558,586
147,14260,,16073,"Owyhee County, ID",County or equivalent,11914,11994,12348,12613,80,354,265
147,34300,,,"Mountain Home, ID",Micropolitan Statistical Area,28665,28669,28941,29403,4,272,462
147,34300,,16039,"Elmore County, ID",County or equivalent,28665,28669,28941,29403,4,272,462
147,36620,,,"Ontario, OR-ID",Micropolitan Statistical Area,56960,57233,58086,58835,273,853,749
147,36620,,16075,"Payette County, ID",County or equivalent,25385,25583,26377,26956,198,794,579
147,36620,,41045,"Malheur County, OR",County or equivalent,31575,31650,31709,31879,75,59,170
148,,,,"Boston-Worcester-Providence, MA-RI-NH-CT",Combined Statistical Area,8466210,8449183,8435794,8434341,-17027,-13389,-1453
148,12700,,,"Barnstable Town, MA",Metropolitan Statistical Area,229004,228856,232594,232457,-148,3738,-137
148,12700,,25001,"Barnstable County, MA",County or equivalent,229004,228856,232594,232457,-148,3738,-137
148,14460,,,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,4941657,4930567,4903708,4900550,-11090,-26859,-3158
148,14460,14454,,"Boston, MA",Metropolitan Division,2054760,2047747,2029376,2024981,-7013,-18371,-4395
148,14460,14454,25021,"Norfolk County, MA",County or equivalent,725999,724322,724692,725531,-1677,370,839
